Keyword,Currency,Avg. monthly searches,Cambio en los últimos tres meses,Cambio interanual,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023
masa pizza,COP,500,0%,0%,Bajo,25,134.52,193.89,,,,,,,,,,,,,,,,,
nexgard gatos,COP,5000,0%,0%,Medio,62,429.69,3007.36,,,,,,,,,,,,,,,,,
ropa para perros pequeños,COP,500,0%,-90%,Alto,71,116.34,899.84,,,,,,,,,,,,,,,,,
perrera cerca de mi,COP,50,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
coches para perros,COP,5000,0%,0%,Alto,100,164.18,2132.83,,,,,,,,,,,,,,,,,
perros yorkie,COP,5000,0%,0%,Bajo,2,205.63,411.00,,,,,,,,,,,,,,,,,
comidas sencillas,COP,500,0%,0%,Bajo,7,142.21,271.45,,,,,,,,,,,,,,,,,
perros pequeños razas,COP,5000,0%,0%,Bajo,5,166.80,349.42,,,,,,,,,,,,,,,,,
cena de navidad,COP,5000,900%,0%,Bajo,2,313.53,1483.24,,,,,,,,,,,,,,,,,
pastor belga malinois,COP,50000,-90%,-90%,Bajo,1,189.71,362.62,,,,,,,,,,,,,,,,,
perreras,COP,5000,0%,0%,Bajo,8,1202.14,15433.90,,,,,,,,,,,,,,,,,
galletas para perros,COP,5000,0%,0%,Alto,99,340.41,1644.07,,,,,,,,,,,,,,,,,
furminator perro,COP,500,0%,0%,Alto,100,237.34,1407.69,,,,,,,,,,,,,,,,,
drontal perros,COP,5000,0%,0%,Medio,62,319.80,4131.85,,,,,,,,,,,,,,,,,
nexgard para perros,COP,500,0%,0%,Bajo,19,321.91,1295.27,,,,,,,,,,,,,,,,,
alimento para cachorros,COP,500,0%,0%,Alto,99,296.76,1434.81,,,,,,,,,,,,,,,,,
perros pequeños en venta,COP,500,900%,0%,Bajo,31,206.59,413.21,,,,,,,,,,,,,,,,,
mi perro no quiere comer,COP,5000,0%,0%,Bajo,0,84.65,846.55,,,,,,,,,,,,,,,,,
apoquel perros,COP,500,0%,0%,Alto,73,271.45,2438.70,,,,,,,,,,,,,,,,,
pizza vegetariana,COP,500,0%,0%,Bajo,3,151.64,620.46,,,,,,,,,,,,,,,,,
comidas rápidas,COP,5000,0%,0%,Bajo,2,659.24,1977.71,,,,,,,,,,,,,,,,,
platos vegetarianos,COP,500,0%,0%,Bajo,2,155.11,310.23,,,,,,,,,,,,,,,,,
masa para empanadas,COP,5000,0%,0%,Bajo,6,372.29,581.73,,,,,,,,,,,,,,,,,
chunky cachorros,COP,5000,0%,0%,Alto,98,200.81,1434.81,,,,,,,,,,,,,,,,,
desayunos faciles,COP,500,-90%,0%,Bajo,1,193.89,465.34,,,,,,,,,,,,,,,,,
sandwich cubano,COP,50000,0%,900%,Bajo,5,133.56,1667.48,,,,,,,,,,,,,,,,,
dog chow adulto 25 kg precio,COP,50,0%,0%,Medio,62,251.75,1279.70,,,,,,,,,,,,,,,,,
sandwich de miga,COP,500,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
vitaminas para perros adultos,COP,500,0%,0%,Alto,100,300.02,2307.74,,,,,,,,,,,,,,,,,
bozales para perros,COP,5000,0%,0%,Alto,100,116.34,1542.49,,,,,,,,,,,,,,,,,
restaurantes italianos,COP,5000,0%,0%,Bajo,3,419.73,2646.02,,,,,,,,,,,,,,,,,
estetica canina,COP,500,0%,0%,Bajo,2,904.97,3172.89,,,,,,,,,,,,,,,,,
pastor australiano,COP,50000,0%,0%,Bajo,0,193.49,556.17,,,,,,,,,,,,,,,,,
apoquel para perros,COP,500,0%,0%,Medio,59,271.45,2951.70,,,,,,,,,,,,,,,,,
comidas ricas,COP,5000,0%,0%,Bajo,3,155.11,888.34,,,,,,,,,,,,,,,,,
garrapatas en perros,COP,5000,0%,0%,Bajo,10,94.98,1139.75,,,,,,,,,,,,,,,,,
beagle precio,COP,5000,0%,0%,Bajo,23,193.28,388.27,,,,,,,,,,,,,,,,,
dialix,COP,50,0%,0%,Bajo,4,,,,,,,,,,,,,,,,,,,
pedigree adulto raza pequeña,COP,500,0%,0%,Alto,99,287.05,3689.70,,,,,,,,,,,,,,,,,
botas para perros,COP,500,0%,0%,Alto,100,155.11,2200.56,,,,,,,,,,,,,,,,,
pizza margarita,COP,5000,0%,0%,Bajo,1,473.29,1754.40,,,,,,,,,,,,,,,,,
comidas navideñas,COP,5000,9900%,900%,Bajo,1,353.29,2519.12,,,,,,,,,,,,,,,,,
arroz para paella,COP,500,0%,0%,Medio,67,387.79,2216.70,,,,,,,,,,,,,,,,,
dog chow extra life,COP,500,0%,0%,Alto,100,541.45,3888.49,,,,,,,,,,,,,,,,,
cepillos para perros,COP,5000,0%,0%,Alto,99,112.10,1972.94,,,,,,,,,,,,,,,,,
asado,COP,50000,0%,0%,Bajo,3,346.45,1266.64,,,,,,,,,,,,,,,,,
hamburguesas veganas,COP,500,0%,0%,Bajo,24,232.57,1338.79,,,,,,,,,,,,,,,,,
agility perros,COP,500,0%,0%,Alto,100,252.91,3143.02,,,,,,,,,,,,,,,,,
cordero asado,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
laika perro,COP,5000,0%,0%,Bajo,30,310.23,14279.66,,,,,,,,,,,,,,,,,
comidas rápidas caseras,COP,500,0%,0%,Bajo,3,142.59,387.79,,,,,,,,,,,,,,,,,
dog chow cachorro raza pequeña,COP,500,0%,0%,Alto,97,371.13,2971.00,,,,,,,,,,,,,,,,,
alimento dog chow,COP,500,0%,0%,Alto,91,476.83,1898.92,,,,,,,,,,,,,,,,,
doberman precio,COP,5000,0%,0%,Bajo,23,149.33,341.18,,,,,,,,,,,,,,,,,
bulldog ingles precio,COP,5000,0%,0%,Bajo,10,174.49,506.41,,,,,,,,,,,,,,,,,
pizza casera,COP,5000,-90%,-90%,Bajo,2,155.11,155.11,,,,,,,,,,,,,,,,,
mochila perro,COP,50,0%,0%,Alto,95,,,,,,,,,,,,,,,,,,,
cachorros en adopción gratis,COP,500,0%,0%,Bajo,13,205.15,385.13,,,,,,,,,,,,,,,,,
rottweiler precio,COP,5000,0%,0%,Bajo,21,141.25,323.61,,,,,,,,,,,,,,,,,
productos para perros,COP,500,0%,0%,Alto,87,310.23,1508.38,,,,,,,,,,,,,,,,,
caniche,COP,5000,0%,0%,Bajo,0,208.44,1333.57,,,,,,,,,,,,,,,,,
gran danes,COP,50000,0%,0%,Bajo,0,211.47,1381.21,,,,,,,,,,,,,,,,,
comidas para año nuevo,COP,500,0%,0%,Bajo,3,,,,,,,,,,,,,,,,,,,
rampas para perros,COP,500,0%,900%,Alto,100,116.34,1396.03,,,,,,,,,,,,,,,,,
comida venezolana,COP,5000,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
purina para perros,COP,5000,0%,0%,Medio,66,429.76,2310.92,,,,,,,,,,,,,,,,,
perros de raza en adopción,COP,500,0%,0%,Bajo,26,195.40,341.18,,,,,,,,,,,,,,,,,
peine para perros,COP,500,0%,0%,Alto,100,116.34,2070.97,,,,,,,,,,,,,,,,,
comida tailandesa,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
husky siberiano precio,COP,5000,0%,0%,Bajo,16,141.34,389.92,,,,,,,,,,,,,,,,,
pedigree razas pequeñas,COP,500,0%,0%,Alto,96,326.73,4156.51,,,,,,,,,,,,,,,,,
pastor alemán precio,COP,5000,0%,0%,Bajo,24,187.77,365.28,,,,,,,,,,,,,,,,,
comidas rapidas y ricas,COP,500,0%,0%,Bajo,2,155.11,542.90,,,,,,,,,,,,,,,,,
transportadoras para perros,COP,50,900%,900%,Alto,100,209.44,2481.83,,,,,,,,,,,,,,,,,
comida colombiana,COP,5000,0%,0%,Bajo,1,578.45,3334.96,,,,,,,,,,,,,,,,,
comidas con carne molida,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro chihuahua,COP,50000,0%,0%,Bajo,1,199.13,469.81,,,,,,,,,,,,,,,,,
alimentos para perros recomendados por veterinarios,COP,500,0%,0%,Alto,79,281.73,1008.24,,,,,,,,,,,,,,,,,
adopcion razas de perros pequeños,COP,5000,0%,0%,Bajo,1,204.56,393.55,,,,,,,,,,,,,,,,,
comida para perros cachorros,COP,500,0%,0%,Alto,94,303.87,2308.29,,,,,,,,,,,,,,,,,
monello cachorros,COP,5000,0%,0%,Alto,96,189.29,1434.81,,,,,,,,,,,,,,,,,
sopas maruchan,COP,5000,0%,-90%,Medio,61,193.89,1822.60,,,,,,,,,,,,,,,,,
transportin,COP,500,0%,0%,Medio,51,250.18,2975.21,,,,,,,,,,,,,,,,,
pan para hamburguesa,COP,500,-90%,0%,Medio,37,269.30,790.68,,,,,,,,,,,,,,,,,
perro husky,COP,5000,0%,0%,Bajo,0,193.14,516.08,,,,,,,,,,,,,,,,,
perros de apoyo emocional,COP,500,0%,0%,Bajo,16,224.56,594.78,,,,,,,,,,,,,,,,,
asuntol,COP,5000,0%,0%,Medio,45,349.01,2435.29,,,,,,,,,,,,,,,,,
ensaladas para bajar de peso,COP,500,0%,0%,Bajo,4,155.11,930.69,,,,,,,,,,,,,,,,,
restaurantes en santo domingo,COP,500,0%,0%,Bajo,8,504.12,581.68,,,,,,,,,,,,,,,,,
alimentacion sana,COP,5000,-90%,-90%,Bajo,6,159.26,853.13,,,,,,,,,,,,,,,,,
ensaladas nutritivas,COP,500,0%,900%,Bajo,4,,,,,,,,,,,,,,,,,,,
perro shih tzu,COP,50000,0%,0%,Bajo,2,219.66,589.99,,,,,,,,,,,,,,,,,
razas perros,COP,5000,0%,0%,Bajo,1,221.45,497.51,,,,,,,,,,,,,,,,,
perro pomerania precio,COP,5000,0%,0%,Bajo,16,182.15,334.50,,,,,,,,,,,,,,,,,
bocadillos para fiestas,COP,500,0%,0%,Bajo,2,379.18,703.63,,,,,,,,,,,,,,,,,
comida barata,COP,500,0%,0%,Bajo,10,542.90,2947.18,,,,,,,,,,,,,,,,,
perros en adopción urgente,COP,500,900%,0%,Bajo,3,,,,,,,,,,,,,,,,,,,
comidas sin carne,COP,50,0%,0%,Bajo,4,,,,,,,,,,,,,,,,,,,
pañales para gatos,COP,500,0%,0%,Alto,88,193.89,3541.67,,,,,,,,,,,,,,,,,
estetica canina cerca de mi,COP,50,0%,0%,Bajo,14,,,,,,,,,,,,,,,,,,,
salsa para pizza,COP,500,0%,0%,Bajo,23,,,,,,,,,,,,,,,,,,,
platos de comida,COP,5000,0%,0%,Bajo,4,,,,,,,,,,,,,,,,,,,
agility gold cachorros,COP,5000,0%,0%,Alto,99,260.93,1434.81,,,,,,,,,,,,,,,,,
empanadas colombianas,COP,5000,0%,0%,Bajo,2,349.01,1512.37,,,,,,,,,,,,,,,,,
sobres pedigree,COP,50,0%,0%,Alto,100,541.16,2352.07,,,,,,,,,,,,,,,,,
comida para perros marcas,COP,5000,-90%,0%,Alto,80,267.12,1434.81,,,,,,,,,,,,,,,,,
desparasitantes para perros,COP,5000,0%,0%,Alto,85,322.57,4371.86,,,,,,,,,,,,,,,,,
perros salchichas,COP,50000,0%,0%,Bajo,6,218.01,590.78,,,,,,,,,,,,,,,,,
paellas,COP,50000,0%,0%,Bajo,6,271.48,891.91,,,,,,,,,,,,,,,,,
flores de bach para perros,COP,500,0%,0%,Alto,82,433.41,2263.35,,,,,,,,,,,,,,,,,
perro rottweiler,COP,50000,0%,0%,Bajo,0,158.23,456.01,,,,,,,,,,,,,,,,,
advocate perros,COP,5000,0%,0%,Alto,100,243.81,2614.19,,,,,,,,,,,,,,,,,
etologia canina,COP,500,0%,0%,Bajo,26,437.20,1422.89,,,,,,,,,,,,,,,,,
golden retriever venta,COP,500,0%,0%,Medio,42,230.05,732.50,,,,,,,,,,,,,,,,,
arnes de perro,COP,500,0%,0%,Alto,100,147.84,1129.96,,,,,,,,,,,,,,,,,
simparica perro,COP,500,0%,0%,Bajo,20,289.57,1898.13,,,,,,,,,,,,,,,,,
simparica precio de 5 a 10 kg,COP,500,0%,900%,Bajo,18,205.08,1187.19,,,,,,,,,,,,,,,,,
paella de mariscos,COP,5000,0%,900%,Bajo,4,242.55,2916.61,,,,,,,,,,,,,,,,,
alimentos prohibidos para perros,COP,500,0%,0%,Bajo,4,51.06,337.28,,,,,,,,,,,,,,,,,
nexgard para gatos,COP,500,0%,0%,Medio,40,465.34,2891.74,,,,,,,,,,,,,,,,,
perro golden,COP,50000,0%,0%,Bajo,1,217.61,832.38,,,,,,,,,,,,,,,,,
inteligencia canina,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
patas de pollo para perros,COP,500,0%,0%,Medio,57,475.70,1833.66,,,,,,,,,,,,,,,,,
alimento balanceado para perros,COP,50,0%,0%,Medio,40,,,,,,,,,,,,,,,,,,,
perro bulldog,COP,5000,0%,0%,Bajo,1,277.33,1381.53,,,,,,,,,,,,,,,,,
almuerzo,COP,50000,0%,0%,Bajo,2,103.78,1141.10,,,,,,,,,,,,,,,,,
platos saludables,COP,5000,0%,0%,Bajo,1,155.11,800.31,,,,,,,,,,,,,,,,,
sopas instantaneas,COP,500,0%,0%,Alto,82,271.45,4721.77,,,,,,,,,,,,,,,,,
perros pequeños gratis,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida thai,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
peluqueria para perros,COP,500,0%,0%,Bajo,7,410.13,1433.72,,,,,,,,,,,,,,,,,
samoyedo,COP,50000,0%,0%,Bajo,1,849.65,1313.06,,,,,,,,,,,,,,,,,
jack russell terrier precio,COP,5000,0%,0%,Bajo,18,190.93,321.89,,,,,,,,,,,,,,,,,
ensaladas faciles,COP,5000,0%,0%,Bajo,2,193.89,1537.01,,,,,,,,,,,,,,,,,
siberiano,COP,5000,0%,0%,Bajo,0,214.00,1381.21,,,,,,,,,,,,,,,,,
comidas de navidad,COP,500,900%,0%,Bajo,1,116.34,809.06,,,,,,,,,,,,,,,,,
maltes mini,COP,500,0%,0%,Bajo,4,202.76,502.59,,,,,,,,,,,,,,,,,
comidas rápidas mexicanas,COP,500,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
credelio precio,COP,5000,-90%,0%,Bajo,21,192.37,1224.87,,,,,,,,,,,,,,,,,
total max,COP,5000,0%,0%,Alto,99,360.01,2718.30,,,,,,,,,,,,,,,,,
pastor australiano precio,COP,5000,0%,0%,Bajo,9,201.78,394.75,,,,,,,,,,,,,,,,,
menú de comidas caseras,COP,500,0%,0%,Bajo,4,102.88,271.45,,,,,,,,,,,,,,,,,
carne de hamburguesa,COP,5000,0%,0%,Medio,47,247.83,2619.36,,,,,,,,,,,,,,,,,
pro plan cachorros,COP,5000,0%,0%,Alto,100,453.13,1871.97,,,,,,,,,,,,,,,,,
comidas nutritivas,COP,500,0%,0%,Bajo,7,155.11,1003.23,,,,,,,,,,,,,,,,,
hamburguesas vegetarianas,COP,500,0%,0%,Bajo,24,232.57,1338.79,,,,,,,,,,,,,,,,,
vetriderm shampoo,COP,50,900%,900%,Medio,34,398.41,3790.59,,,,,,,,,,,,,,,,,
comida para fiestas,COP,5000,0%,0%,Bajo,6,425.12,725.25,,,,,,,,,,,,,,,,,
shampoo para perro,COP,5000,0%,0%,Alto,99,306.75,3734.70,,,,,,,,,,,,,,,,,
artri tabs,COP,5000,0%,0%,Alto,88,208.61,2535.45,,,,,,,,,,,,,,,,,
perros de raza pequeña en venta,COP,500,0%,0%,Medio,36,209.47,457.96,,,,,,,,,,,,,,,,,
perro maltes,COP,5000,0%,0%,Bajo,1,218.14,787.64,,,,,,,,,,,,,,,,,
comidas sin grasa,COP,500,0%,0%,Bajo,6,193.89,908.21,,,,,,,,,,,,,,,,,
comidas ricas y faciles,COP,500,0%,0%,Bajo,4,155.11,392.57,,,,,,,,,,,,,,,,,
almuerzo rapido,COP,5000,0%,0%,Bajo,11,137.04,1610.87,,,,,,,,,,,,,,,,,
tapas de empanadas,COP,500,0%,0%,Bajo,6,,,,,,,,,,,,,,,,,,,
chalecos para perros,COP,5000,0%,0%,Alto,100,116.34,864.10,,,,,,,,,,,,,,,,,
mirrapel,COP,5000,0%,0%,Alto,90,270.08,3160.34,,,,,,,,,,,,,,,,,
marcas de comida para perros,COP,500,0%,0%,Medio,53,278.73,1357.25,,,,,,,,,,,,,,,,,
simparica precio de 20 a 40 kg,COP,500,0%,900%,Bajo,18,393.51,1298.77,,,,,,,,,,,,,,,,,
masa de empanadas,COP,500,0%,0%,Bajo,3,,,,,,,,,,,,,,,,,,,
perro robot juguete,COP,500,0%,0%,Alto,100,150.12,659.24,,,,,,,,,,,,,,,,,
ensaladas navideñas,COP,5000,900%,0%,Bajo,1,620.46,1919.10,,,,,,,,,,,,,,,,,
desayunos mexicanos,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro beagle,COP,5000,0%,0%,Bajo,1,216.02,487.71,,,,,,,,,,,,,,,,,
huargos,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
perros doberman,COP,5000,0%,0%,Bajo,0,178.84,514.83,,,,,,,,,,,,,,,,,
cena rapida y facil,COP,5000,0%,0%,Bajo,4,155.11,271.45,,,,,,,,,,,,,,,,,
perro schnauzer,COP,5000,0%,0%,Bajo,1,245.40,1333.59,,,,,,,,,,,,,,,,,
comida mediterranea,COP,5000,0%,0%,Bajo,1,504.12,1861.38,,,,,,,,,,,,,,,,,
ringo cachorros,COP,5000,0%,0%,Alto,91,291.46,1296.35,,,,,,,,,,,,,,,,,
mundo canino,COP,500,0%,900%,Bajo,2,,,,,,,,,,,,,,,,,,,
comida gourmet,COP,5000,0%,0%,Bajo,2,155.11,906.47,,,,,,,,,,,,,,,,,
golden retriever cachorro,COP,5000,0%,0%,Bajo,5,225.99,549.54,,,,,,,,,,,,,,,,,
perros pitbull,COP,50000,0%,0%,Bajo,0,232.13,768.58,,,,,,,,,,,,,,,,,
labrador retriever precio,COP,500,0%,0%,Bajo,27,213.45,463.84,,,,,,,,,,,,,,,,,
bichon maltes toy,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
comida hindu,COP,500,-90%,0%,Bajo,0,450.04,4748.75,,,,,,,,,,,,,,,,,
comida asiatica,COP,5000,0%,0%,Bajo,1,504.12,2598.17,,,,,,,,,,,,,,,,,
parques para perros,COP,500,900%,900%,Bajo,8,1211.80,22908.30,,,,,,,,,,,,,,,,,
lentes para perros,COP,50,0%,0%,Alto,87,,,,,,,,,,,,,,,,,,,
perro yorkie precio,COP,5000,0%,0%,Bajo,13,197.76,380.41,,,,,,,,,,,,,,,,,
bocadillos,COP,5000,0%,0%,Bajo,12,271.45,2074.10,,,,,,,,,,,,,,,,,
yorkie precio,COP,500,900%,900%,Bajo,24,190.86,349.62,,,,,,,,,,,,,,,,,
tortillas para tacos,COP,500,-90%,0%,Alto,100,,,,,,,,,,,,,,,,,,,
comidas fáciles y económicas para el almuerzo,COP,500,0%,0%,Bajo,9,140.72,271.45,,,,,,,,,,,,,,,,,
perro boxer,COP,50000,-90%,-90%,Bajo,0,197.06,616.06,,,,,,,,,,,,,,,,,
samoyedo precio,COP,5000,0%,0%,Bajo,16,241.49,979.96,,,,,,,,,,,,,,,,,
perros grandes,COP,50000,0%,0%,Bajo,0,245.50,1334.45,,,,,,,,,,,,,,,,,
empanadas venezolanas,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
perro de juguete,COP,500,900%,0%,Alto,83,100.43,909.15,,,,,,,,,,,,,,,,,
almuerzo casero,COP,50000,0%,0%,Bajo,3,136.43,465.34,,,,,,,,,,,,,,,,,
dieta blanda para perros,COP,500,0%,0%,Alto,89,409.15,1007.10,,,,,,,,,,,,,,,,,
empanadas de queso,COP,500,0%,0%,Bajo,7,,,,,,,,,,,,,,,,,,,
boyero de berna,COP,5000,0%,0%,Bajo,1,199.68,361.31,,,,,,,,,,,,,,,,,
comidas rápidas y sanas,COP,500,900%,0%,Bajo,5,152.64,891.91,,,,,,,,,,,,,,,,,
cachorros pastor aleman,COP,5000,0%,0%,Bajo,9,210.94,421.11,,,,,,,,,,,,,,,,,
masa de pizza casera,COP,500,0%,0%,Bajo,5,155.11,155.11,,,,,,,,,,,,,,,,,
perros miniatura,COP,5000,0%,0%,Bajo,2,218.12,749.96,,,,,,,,,,,,,,,,,
pedigree perro,COP,500,0%,0%,Medio,48,205.63,1381.21,,,,,,,,,,,,,,,,,
akita americano,COP,50000,0%,0%,Bajo,1,194.60,1531.24,,,,,,,,,,,,,,,,,
empanadas de carne,COP,5000,-90%,0%,Bajo,3,,,,,,,,,,,,,,,,,,,
perro labrador precio,COP,500,0%,0%,Bajo,12,210.56,395.48,,,,,,,,,,,,,,,,,
chow chow precio,COP,500,0%,0%,Bajo,8,229.67,573.48,,,,,,,,,,,,,,,,,
perro shih tzu precio,COP,5000,0%,0%,Bajo,7,169.88,430.06,,,,,,,,,,,,,,,,,
sopas mexicanas,COP,500,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
comida americana,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
empanadas de pino,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
estetica canina a domicilio,COP,50,0%,0%,Bajo,11,610.22,1486.59,,,,,,,,,,,,,,,,,
electrolitos para perros,COP,500,0%,0%,Bajo,28,,,,,,,,,,,,,,,,,,,
husky precio,COP,500,0%,0%,Bajo,22,149.58,340.14,,,,,,,,,,,,,,,,,
comidas italianas,COP,500,0%,0%,Bajo,1,84.56,1705.27,,,,,,,,,,,,,,,,,
fiprokill,COP,50,0%,0%,Bajo,21,,,,,,,,,,,,,,,,,,,
lobo siberiano,COP,50000,0%,0%,Bajo,0,187.20,616.35,,,,,,,,,,,,,,,,,
restaurantes de comida sana,COP,500,0%,0%,Bajo,6,452.17,1938.93,,,,,,,,,,,,,,,,,
asado argentino,COP,5000,0%,0%,Bajo,1,577.96,1464.09,,,,,,,,,,,,,,,,,
comida árabe,COP,5000,0%,0%,Bajo,1,387.79,1822.60,,,,,,,,,,,,,,,,,
perro mono,COP,5000,0%,0%,Bajo,2,581.68,1589.92,,,,,,,,,,,,,,,,,
gran danes precio,COP,5000,0%,0%,Bajo,14,197.94,426.96,,,,,,,,,,,,,,,,,
las cazuelas,COP,50,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
pomerania cara de oso,COP,5000,0%,0%,Bajo,4,190.93,444.89,,,,,,,,,,,,,,,,,
comid,COP,500,0%,-90%,Bajo,1,426.57,2055.27,,,,,,,,,,,,,,,,,
ensaladas sencillas,COP,5000,0%,-90%,Bajo,1,232.67,1938.93,,,,,,,,,,,,,,,,,
dogourmet cachorros,COP,5000,0%,0%,Alto,90,257.35,4027.90,,,,,,,,,,,,,,,,,
bichon maltes mini,COP,500,0%,0%,Bajo,11,213.31,628.02,,,,,,,,,,,,,,,,,
poder canino,COP,50,0%,0%,Bajo,3,,,,,,,,,,,,,,,,,,,
torta fritas,COP,500,0%,0%,Bajo,4,,,,,,,,,,,,,,,,,,,
labrador chocolate,COP,5000,0%,0%,Bajo,2,236.69,654.03,,,,,,,,,,,,,,,,,
entradas de comida,COP,5000,-90%,-90%,Bajo,0,,,,,,,,,,,,,,,,,,,
precio bulldog frances,COP,5000,0%,0%,Bajo,19,141.17,463.68,,,,,,,,,,,,,,,,,
comida nutritiva,COP,500,0%,0%,Bajo,7,155.11,1003.23,,,,,,,,,,,,,,,,,
comida para cumpleaños,COP,5000,0%,0%,Bajo,5,449.61,724.55,,,,,,,,,,,,,,,,,
pan de miga,COP,500,0%,0%,Bajo,17,,,,,,,,,,,,,,,,,,,
ensaladas gourmet,COP,500,0%,0%,Bajo,4,193.89,1777.77,,,,,,,,,,,,,,,,,
cachorros labrador,COP,500,0%,0%,Bajo,10,259.53,619.82,,,,,,,,,,,,,,,,,
pug precio,COP,500,0%,0%,Bajo,12,192.96,393.82,,,,,,,,,,,,,,,,,
pipican,COP,500,0%,0%,Alto,92,265.93,6619.62,,,,,,,,,,,,,,,,,
pizza a la piedra,COP,500,0%,0%,Bajo,4,,,,,,,,,,,,,,,,,,,
bichon frise precio,COP,500,0%,0%,Bajo,18,182.40,347.53,,,,,,,,,,,,,,,,,
perros pequeños peludos,COP,5000,0%,0%,Bajo,1,119.53,429.63,,,,,,,,,,,,,,,,,
belga malinois,COP,5000,0%,0%,Bajo,1,108.24,320.22,,,,,,,,,,,,,,,,,
comida española,COP,5000,0%,0%,Bajo,0,412.71,1060.57,,,,,,,,,,,,,,,,,
vetriderm jabon,COP,500,0%,0%,Bajo,28,216.40,2200.07,,,,,,,,,,,,,,,,,
perros perdidos,COP,500,0%,0%,Bajo,5,354.38,665.83,,,,,,,,,,,,,,,,,
schnauzer miniatura precio,COP,500,0%,0%,Bajo,21,191.54,378.46,,,,,,,,,,,,,,,,,
perro peluche,COP,500,0%,0%,Medio,53,,,,,,,,,,,,,,,,,,,
bulldog inglés,COP,50000,0%,0%,Bajo,1,215.07,611.48,,,,,,,,,,,,,,,,,
casa de comidas,COP,50,0%,0%,Bajo,1,,,,,,,,,,,,,,,,,,,
pomerania toy,COP,5000,0%,0%,Bajo,3,191.22,384.16,,,,,,,,,,,,,,,,,
caniche mini toy,COP,500,0%,0%,Bajo,4,221.62,423.11,,,,,,,,,,,,,,,,,
jabon para perros,COP,5000,0%,900%,Medio,65,331.17,4008.39,,,,,,,,,,,,,,,,,
mini pincher,COP,5000,0%,0%,Bajo,1,218.00,444.31,,,,,,,,,,,,,,,,,
perro beagle precio,COP,5000,0%,-90%,Bajo,9,192.37,356.42,,,,,,,,,,,,,,,,,
labrador precio,COP,500,0%,0%,Bajo,18,191.92,460.10,,,,,,,,,,,,,,,,,
garrapatas en perros como eliminarlas,COP,500,0%,900%,Medio,36,221.50,1193.33,,,,,,,,,,,,,,,,,
el perro,COP,5000,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
cachorro pomerania,COP,500,0%,0%,Bajo,14,212.43,386.89,,,,,,,,,,,,,,,,,
cena de año nuevo,COP,500,900%,0%,Bajo,4,,,,,,,,,,,,,,,,,,,
ensaladas frescas,COP,500,0%,0%,Bajo,1,63.91,1660.25,,,,,,,,,,,,,,,,,
ropita para perros,COP,5000,0%,0%,Alto,99,143.29,1545.06,,,,,,,,,,,,,,,,,
masa para pizza casera,COP,500,0%,0%,Bajo,4,155.11,193.89,,,,,,,,,,,,,,,,,
vestidos para perritas,COP,500,0%,-90%,Medio,37,114.31,1124.58,,,,,,,,,,,,,,,,,
perro golden precio,COP,500,0%,0%,Bajo,19,171.03,360.33,,,,,,,,,,,,,,,,,
comidas con atun,COP,500,0%,0%,Bajo,3,381.68,838.86,,,,,,,,,,,,,,,,,
dalmatas,COP,50000,0%,0%,Bajo,1,204.25,741.82,,,,,,,,,,,,,,,,,
pastor belga malinois precio,COP,500,0%,0%,Bajo,13,187.52,334.12,,,,,,,,,,,,,,,,,
razas de perros grandes,COP,50000,0%,0%,Bajo,0,257.51,1387.07,,,,,,,,,,,,,,,,,
cachorros shih tzu,COP,500,0%,0%,Bajo,17,226.49,560.32,,,,,,,,,,,,,,,,,
pastor belga precio,COP,500,0%,0%,Bajo,16,189.12,344.95,,,,,,,,,,,,,,,,,
basset hound precio,COP,500,0%,0%,Bajo,19,215.97,524.64,,,,,,,,,,,,,,,,,
